run,n,side,neuron,energy,live,dom_irrep,dom_dim,dom_block,e_dom,block_dominant,alpha_plain,plain_label,alpha_twist,twist_label,aligned_plain,aligned_twist,test_acc
randinit_aff16_seed9,16,x,97,0.31598835802512987,True,22,8,16,(0.5254205888490481+0j),False,0.17372717550154324,M0r,0.16957888221698933,k1l,False,False,
randinit_aff16_seed9,16,x,98,0.24126716530969197,True,22,8,16,(0.541379444533715+0j),False,0.16953124355404917,M3l,0.24032931907510668,k5l,False,False,
randinit_aff16_seed9,16,x,99,0.29572490283511077,True,22,8,16,(0.5185207240478669+0j),False,0.2012868637989346,M3r,0.1915550131659705,k3r,False,False,
randinit_aff16_seed9,16,x,100,0.25804264074690725,True,22,8,16,(0.38952092708852176+0j),False,0.13450126265648837,M6r,0.20934369764515978,k6l,False,False,
randinit_aff16_seed9,16,x,101,0.27210836721086734,True,22,8,16,(0.44431468913356864+0j),False,0.1529040758034933,M4l,0.16712620257235772,k6l,False,False,
randinit_aff16_seed9,16,x,102,0.225850973072316,True,22,8,16,(0.5416495696787286+0j),False,0.20844766483327506,M0l,0.206903433704663,k7r,False,False,
randinit_aff16_seed9,16,x,103,0.2257588443743649,True,22,8,16,(0.5305342769134109+0j),False,0.2274968913906786,M4l,0.21865377658644247,k1r,False,False,
randinit_aff16_seed9,16,x,104,0.26114452419750683,True,22,8,16,(0.5494577159000585+0j),False,0.1785083557627458,M4r,0.22175969030218173,k3r,False,False,
randinit_aff16_seed9,16,x,105,0.25013316239271083,True,22,8,16,(0.5358720439137227+0j),False,0.17905792898434153,M4r,0.21106012809305427,k7l,False,False,
randinit_aff16_seed9,16,x,106,0.20611888459858538,True,22,8,16,(0.436560631090067+0j),False,0.18283721035685302,M2r,0.18999347309519382,k2l,False,False,
randinit_aff16_seed9,16,x,107,0.2682410443105234,True,22,8,16,(0.4795406610083566+0j),False,0.22878711726748316,M0l,0.20978124766214656,k4l,False,False,
randinit_aff16_seed9,16,x,108,0.2456733858673453,True,22,8,16,(0.46327262139801795+0j),False,0.17413219862186222,M5r,0.18431588719296174,k2r,False,False,
randinit_aff16_seed9,16,x,109,0.1748259473617393,True,22,8,16,(0.5831415941559037+0j),False,0.17898885222379338,M0r,0.1835859868587456,k1r,False,False,
randinit_aff16_seed9,16,x,110,0.24573334030170513,True,22,8,16,(0.39819310927890755+0j),False,0.20306631080290707,M3r,0.1506851638818741,k4r,False,False,
randinit_aff16_seed9,16,x,111,0.2748184813893149,True,22,8,16,(0.5835584664373219+0j),False,0.23523715565077574,M6r,0.22916366881214573,k7r,False,False,
randinit_aff16_seed9,16,x,112,0.2075510940833069,True,22,8,16,(0.49930306280992115+0j),False,0.20501138292701782,M6l,0.1787348332378457,k3r,False,False,
randinit_aff16_seed9,16,x,113,0.2842767488194876,True,22,8,16,(0.4234975515651544+0j),False,0.1999455686528287,M0r,0.18578364715267004,k4r,False,False,
randinit_aff16_seed9,16,x,114,0.20761958117166024,True,22,8,16,(0.5788858309617949+0j),False,0.1600867935458092,M7l,0.1907491906930499,k7l,False,False,
randinit_aff16_seed9,16,x,115,0.2447655711493887,True,22,8,16,(0.43496492810272425+0j),False,0.17584265067930266,M7r,0.21266565382605032,k5l,False,False,
randinit_aff16_seed9,16,x,116,0.28453990467402707,True,22,8,16,(0.3967617158210908+0j),False,0.17058614185900103,M4l,0.1889950962164162,k2l,False,False,
randinit_aff16_seed9,16,x,117,0.35236425733468313,True,22,8,16,(0.48521677271929875+0j),False,0.2011038399828666,M5r,0.20672173878349806,k1l,False,False,
randinit_aff16_seed9,16,x,118,0.2549823787354902,True,22,8,16,(0.5273695708942095+0j),False,0.26469126789169295,M3r,0.21508109885547338,k1r,False,False,
randinit_aff16_seed9,16,x,119,0.25138609424157504,True,22,8,16,(0.3647832111486932+0j),False,0.13135027273729796,M0l,0.17135796915355972,k6r,False,False,
randinit_aff16_seed9,16,x,120,0.2718942243901594,True,22,8,16,(0.45403058296608945+0j),False,0.12931310648501357,M5r,0.13967746979142273,k4r,False,False,
randinit_aff16_seed9,16,x,121,0.2062758269514345,True,22,8,16,(0.5715835345014714+0j),False,0.25214120161194076,M1l,0.22851152703773026,k3r,False,False,
randinit_aff16_seed9,16,x,122,0.2181625124469967,True,22,8,16,(0.5344134100367894+0j),False,0.2185428884565409,M2r,0.16388967547718544,k7r,False,False,
randinit_aff16_seed9,16,x,123,0.24744861105645818,True,22,8,16,(0.5549933379279249+0j),False,0.19437083296866092,M7l,0.1986550621831118,k7r,False,False,
randinit_aff16_seed9,16,x,124,0.29381575351689515,True,22,8,16,(0.6215621914618472+0j),False,0.27835059953094826,M2r,0.27144180913661947,k3l,False,False,
randinit_aff16_seed9,16,x,125,0.2657748984096493,True,22,8,16,(0.5901287818819075+0j),False,0.15064610147371588,M6r,0.24923206805224984,k5l,False,False,
randinit_aff16_seed9,16,x,126,0.26297381260099006,True,22,8,16,(0.48523883763497505+0j),False,0.16626762981557586,M7r,0.18130409298924527,k2l,False,False,
randinit_aff16_seed9,16,x,127,0.2326573110444396,True,22,8,16,(0.6378192077098215+0j),False,0.21280368836282904,M2l,0.19687501573070712,k7r,False,False,
randinit_aff16_seed9,16,y,0,0.29553512253383224,True,22,8,16,(0.5258963304105826+0j),False,0.18891025653794766,M1l,0.17208254466657144,k1r,False,False,
randinit_aff16_seed9,16,y,1,0.2667836232702094,True,22,8,16,(0.5162950463564148+0j),False,0.20212681427912035,M6l,0.24716292947431906,k5l,False,False,
randinit_aff16_seed9,16,y,2,0.3210154803261381,True,22,8,16,(0.43748174254553124+0j),False,0.2196805608028268,M5r,0.28971458772616404,k2l,False,False,
randinit_aff16_seed9,16,y,3,0.2740103803065906,True,22,8,16,(0.4972037395751507+0j),False,0.1664991510867179,M7r,0.2068942967896325,k7l,False,False,
randinit_aff16_seed9,16,y,4,0.33214766853549293,True,22,8,16,(0.47559637928847126+0j),False,0.21657512993360656,M1l,0.19593909646222116,k1r,False,False,
randinit_aff16_seed9,16,y,5,0.32545485992772866,True,22,8,16,(0.5195020508295893+0j),False,0.20206443478834846,M4l,0.1682021096802383,k6r,False,False,
randinit_aff16_seed9,16,y,6,0.23126414426816366,True,22,8,16,(0.5237201243598726+0j),False,0.19412675664634768,M4r,0.19227853511573129,k3l,False,False,
randinit_aff16_seed9,16,y,7,0.23633701884031666,True,22,8,16,(0.4768718475204603+0j),False,0.1561623328747915,M2l,0.1881959108718,k3r,False,False,
randinit_aff16_seed9,16,y,8,0.2494879627725526,True,22,8,16,(0.40788428943129545+0j),False,0.24045273192453018,M2l,0.20313817579112955,k6l,False,False,
