run,n,block,side,neuron,energy,alpha,family,coset_side
aff11_wu100k_m128_seed1,11,11,y,70,162.80851962080072,0.9999925330154817,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,71,224.9820554870651,0.9999977258491743,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,72,117.38099473909635,0.9999927900855631,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,73,178.7392926252713,0.9999953274353406,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,74,231.69994300493917,0.9999971508825989,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,76,175.78946035330273,0.999994446602877,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,77,232.11066826784557,0.9999977215015224,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,78,215.61857576365338,0.9999960764790201,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,79,255.10874124098956,0.999996974817021,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,80,214.9160643165947,0.9999974824144816,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,81,228.42466906440993,0.9999965297647982,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,82,190.87795951907407,0.9999962484040188,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,83,29.13289066587451,0.4087414625581628,M_x (point stabilizer) idx=11 char,l
aff11_wu100k_m128_seed1,11,11,y,84,187.712871331809,0.9999957663399954,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,85,131.57365217757882,0.9999967640195594,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,86,156.98977453062327,0.9999940093937187,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,87,233.94755276513735,0.9999978478773491,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,88,189.41951376785536,0.9999921073792034,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,89,208.17633916442816,0.9999969243916641,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,90,228.17640440636154,0.9999975763285933,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,91,177.38178804139,0.9999948632566924,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,92,248.50209160963638,0.9999973575462273,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,93,232.32322462441738,0.9999959808991165,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,94,141.79925275486812,0.9999950874117193,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,95,112.95156931704703,0.9999908438188406,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,96,211.5639104837837,0.999995916663322,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,97,175.12415690460222,0.9999944055372848,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,98,124.3509177981645,0.9999942852837795,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,99,216.69595511189846,0.9999952658734849,M_x (point stabilizer) idx=11 triv,l
aff11_wu100k_m128_seed1,11,11,y,100,193.47733831644913,0.9999959248785737,M_x (point stabilizer) idx=11 triv,l
