run,n,block,dim,n_cols,energy_share,F_plain,F_twist,F_both,med_alpha_plain,med_alpha_twist,plain_side,twist_side,verdict,support_orbit_dist,energy_by_block,frac_block_dominant,comp_energy,C_plain,C_plainchar,C_twist,wmean_alpha_plain,wmean_alpha_plainchar,wmean_alpha_twist,verdict_component
aff16_wu_m128_seed1,16.0,16,8.0,178.0,0.40963525884439955,1.0,0.0,0.0,0.9999816633074889,0.34327043838941845,l:0.50 r:0.50,l:0.50 r:0.50,plain,8:1.00,d0:0.28 d2:0.07 d4:0.03 d8:0.20 d16:0.41,0.8653832648735654,19214.555870838805,0.9998782165689002,0.9998782165689002,0.0,0.9999325219168125,0.9999463915274353,0.34355152068104855,plain
aff16_wu_m128_seed1,16.0,8,4.0,30.0,0.2035067420216173,0.2948128455864957,1.0,0.2948128455864957,0.8499538761617205,0.9990033643689298,l:0.50 r:0.50,l:0.50 r:0.50,twist,2:0.50 4:0.50,,,9517.620135016276,0.2958050653903151,0.6737972371499844,1.0,0.7483963929335482,0.937154072751988,0.999902543062459,both
aff16_wu_m128_seed1,,8β,,,,,,,,,,,,,,,0.13190932625957025,0.0,0.0,0.00033002438243399,1.4386553052830261e-25,0.3401932549161999,0.597139783795403,neither
aff16_wu_m128_seed2,16.0,16,8.0,170.0,0.38530868729265827,0.0,0.0,0.0,0.31998124783375387,0.513587513314173,l:0.50 r:0.50,l:0.50 r:0.50,neither,4:0.49 8:0.51,d0:0.26 d2:0.05 d4:0.17 d8:0.14 d16:0.39,0.8635257223439816,18150.405681406908,0.0,0.0,0.0,0.3209503070370533,0.3894492427587871,0.5138850542983752,neither
aff16_wu_m128_seed2,16.0,8,4.0,22.0,0.139248213247418,0.0,0.0,0.0,0.5471708003277111,0.8505609285845669,l:0.50 r:0.50,l:0.50 r:0.50,neither,4:1.00,,,6550.698567680276,0.0,0.9994372601612529,0.0,0.5475382579666886,0.9962920086521473,0.8529366519545706,plain
aff16_wu_m128_seed2,,8β,,,,,,,,,,,,,,,6.197834888910018,0.0,0.0,0.02706507263951416,3.620442644110189e-27,0.3537749520227896,0.725877705035574,neither
aff16_wu_m128_seed3,16.0,16,8.0,188.0,0.5345600929864754,0.7399306417974308,0.0,0.0,0.9999819903585184,0.6453028819638555,l:0.51 r:0.49,l:0.49 r:0.51,plain,4:0.50 8:0.50,d0:0.38 d4:0.09 d16:0.53,0.919758392654377,26995.77564810151,0.7400349648492753,0.9739597409996805,0.0,0.8692769049102022,0.9862767211017179,0.6452983218320921,plain
aff16_wu_m128_seed3,16.0,8,4.0,0.0,0.0,,,,,,,,empty,,,,0.3299470988227329,0.0,0.0,0.009382081359014931,0.4317508489488191,0.46944080104190183,0.566109085484118,neither
aff16_wu_m128_seed3,,8β,,,,,,,,,,,,,,,3623.6775007524684,0.0,0.0,0.0,8.37726709252493e-32,0.4999216157814391,0.8532953920036479,neither
aff16_wu_m128_seed4,16.0,16,8.0,170.0,0.36538799459749444,0.0,0.0,0.0,0.5125273987034358,0.5180274014520803,l:0.50 r:0.50,l:0.50 r:0.50,neither,8:1.00,d0:0.57 d2:0.05 d4:0.02 d16:0.37,0.839072198793162,15907.923235936769,0.0,0.0,0.0,0.5003138228503516,0.5011069883279766,0.5308465309096875,neither
aff16_wu_m128_seed4,16.0,8,4.0,0.0,0.0,,,,,,,,empty,,,,0.4478560747627277,0.0,0.0,0.0029073338140477327,0.3869406929771011,0.40749500666751826,0.5900443419582537,neither
aff16_wu_m128_seed4,,8β,,,,,,,,,,,,,,,6706.137706147996,0.0,0.0,1.019432817211228e-05,4.79308830902316e-33,0.4944190236124384,0.8274439383273875,neither
aff16_wu_m128_seed5,16.0,16,8.0,180.0,0.4183076945409829,1.0,0.0,0.0,0.9908273756890682,0.5908805643264192,l:0.50 r:0.50,l:0.50 r:0.50,plain,8:1.00,d0:0.52 d2:0.07 d16:0.42,0.8756764782204385,18305.30076789049,0.9994312582569346,0.9994312582569346,0.0,0.9903820148444517,0.9903827849936407,0.6250405531738441,plain
aff16_wu_m128_seed5,16.0,8,4.0,0.0,0.0,,,,,,,,empty,,,,2.601339416208088,0.0,0.0,0.00042044922138635823,0.3359025813833113,0.33747284572324837,0.5114344394629738,neither
aff16_wu_m128_seed5,,8β,,,,,,,,,,,,,,,6095.358108397775,0.0,0.0,0.0,3.7088511252895335e-33,0.49987942483540226,0.8530461833164413,neither
aff21_wu_m128_seed1,21.0,21,12.0,0.0,0.0,,,,,,,,empty,,d0:0.40 d3:0.04 d7:0.56,0.7822129883268224,0.7785873276790474,0.0,0.0,0.0,0.1876544955242316,0.23216257691041683,0.25473939047047106,neither
aff21_wu_m128_seed1,21.0,7,6.0,145.0,0.5564111607294946,0.9999999993359358,0.0,0.0,0.9999908178088968,0.5645123651673796,l:0.50 r:0.50,l:0.50 r:0.50,plain,6:1.00,,,76702.73054128537,1.0,0.0,0.0,0.9999971274194602,0.7891623617014953,0.5645368525943198,plain
aff21_wu_m128_seed1,,7β,,,,,,,,,,,,,,,0.22641668172868545,0.0,0.0,0.0,3.8079859621934218e-25,0.38346339699990656,0.5158597988740629,neither
