run,n,block,side,neuron,energy,e_block,r1,rank,stab_u,ord_u,stab_v,ord_v
aff11_wu_m128_seed2,11,11,x,50,239.09442932102638,0.9999991921152519,0.9999946910933234,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,51,162.84078684406012,0.9999973123183554,0.9999953845308818,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,52,226.3628684428486,0.9999974848498404,0.999995139209962,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,53,252.294305808804,0.9999992388872951,0.9999967886504754,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,54,27.91207048083145,0.989306592333873,0.9999938913054339,1,1,1,1,1
aff11_wu_m128_seed2,11,11,x,56,218.00784563552398,0.9999989966061054,0.9999946259258001,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,57,123.36560800201295,0.9999993296025246,0.999996430696768,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,58,175.78361065359448,0.9999996295909239,0.9999950109142874,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,60,209.19204685190974,0.9999992762634439,0.999993935210394,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,61,112.52408664289395,0.9999992383887207,0.9999966513017976,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,62,230.89141823233894,0.999998440989328,0.9999951850076052,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,63,247.8266493209138,0.9999995457501559,0.9999949586108433,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,64,241.9663868931414,0.9999986224955849,0.9999953243346962,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,65,115.89576299449476,0.9999976463184511,0.9999873259749986,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,66,103.83944294097778,0.9999991281665794,0.9999953917560214,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,67,130.758879411284,0.9999982069972099,0.9999952386282306,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,68,241.1575632899401,0.9999993499729443,0.9999952337238911,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,69,174.6036061679757,0.999997695981498,0.999996748223498,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,70,244.57751912852,0.9999986506457992,0.9999946625354602,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,71,169.88435327050865,0.9999976092280752,0.9999953040852405,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,72,112.37380907394679,0.9999986822301383,0.9999964314767312,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,73,118.88390841541676,0.999997780634137,0.999987280785794,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,74,220.72085748139017,0.9999979181557098,0.9999953232448591,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,76,156.08037471723514,0.9999972984560372,0.9999939249948806,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,77,143.55811263410968,0.999997541405615,0.9999949827365068,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,78,234.34017288450752,0.9999985136338838,0.9999955203983893,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,79,129.2055486529215,0.9999973778270072,0.9999964165563191,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,80,125.30280862094354,0.9999981297303059,0.9999968520793555,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,81,263.4616233743297,0.9999994578710769,0.9999946990532004,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,83,229.07286562395717,0.9999955987056715,0.9999967608966919,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,84,214.32189611503154,0.9999992875383801,0.999995520261425,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,85,114.17379119955875,0.9999919395627439,0.9999950094447145,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,86,93.20779892594892,0.9999975892331543,0.9999873568834495,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,87,102.41681471310676,0.9999974911917572,0.9999936286137583,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,88,252.5949043072981,0.9999991783520892,0.9999954857904402,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,89,224.78171349809483,0.9999978323851932,0.9999937208227009,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,91,285.81996296219046,0.9999992862669163,0.9999952984778555,1,1,1,M,10
aff11_wu_m128_seed2,11,11,x,92,238.62833690121906,0.9999969546390308,0.9999949020004253,1,1,1,M,10
