run,n,side,neuron,energy,dom_dim,dom_k,e_dom,single,alpha_refl,r1
D59_MLP_seed1,59,y,46,857.1521985056409,2,15,0.9919513957664959,True,0.997787075266514,0.9999766183550008
D59_MLP_seed1,59,y,47,369.39263246929136,2,19,0.9913682139990042,True,0.9967454002834009,0.999998517732658
D59_MLP_seed1,59,y,48,595.8128267590378,2,14,0.9723065100598839,True,0.9983723625799276,0.999999738577355
D59_MLP_seed1,59,y,49,725.9575142600605,2,3,0.9903149403912181,True,0.9989104633083385,0.9999989020392969
D59_MLP_seed1,59,y,50,193.91122926361334,2,14,0.9746267990332538,True,0.9980956464012796,0.9999991928977866
D59_MLP_seed1,59,y,51,351.2061465435327,2,14,0.9728457534383476,True,0.9977541395030068,0.9999986437623264
D59_MLP_seed1,59,y,52,414.86299331640646,2,20,0.9868423088778714,True,0.9988466841237102,0.9999976981076959
D59_MLP_seed1,59,y,53,818.3557586812757,2,6,0.9935496886231032,True,0.998348241237913,0.999993816702507
D59_MLP_seed1,59,y,54,643.1701431951085,2,15,0.9914730235573878,True,0.9970568611144286,0.9999999994425428
D59_MLP_seed1,59,y,55,635.7485340029465,2,8,0.9907356994124868,True,0.9992269249738014,0.9999994082525593
D59_MLP_seed1,59,y,56,207.22927929412307,2,8,0.9847561698538779,True,0.9976460334165034,0.9999787355195897
D59_MLP_seed1,59,y,57,264.405236693546,2,7,0.9367176742385038,True,0.9852924682728798,0.9999350830769346
D59_MLP_seed1,59,y,58,656.26360607215,2,8,0.9905541805204477,True,0.9987496926275475,0.9999931603336866
D59_MLP_seed1,59,y,59,691.8449630128595,2,3,0.9885075700245579,True,0.9983785914370363,0.9999960567782986
D59_MLP_seed1,59,y,60,313.5337784643248,2,14,0.974708963597996,True,0.9982964187285107,0.9999991474186123
D59_MLP_seed1,59,y,61,358.30434619559185,2,14,0.9711355583296546,True,0.9969788761936,0.999999262774811
D59_MLP_seed1,59,y,62,400.82695601653376,2,19,0.9926078525170969,True,0.9982562925785264,0.9999931635343642
D59_MLP_seed1,59,y,63,416.24262003390857,2,20,0.9867576429537785,True,0.9988607427201981,0.99999762780704
D59_MLP_seed1,59,y,64,416.58653117340873,2,20,0.9861010137041879,True,0.9992604081533518,0.9999648108541594
D59_MLP_seed1,59,y,65,685.8104047674994,2,3,0.9913896901449785,True,0.9985636145074824,0.9999969044063793
D59_MLP_seed1,59,y,66,650.7836167477395,2,15,0.9870109363661455,True,0.9970628717740836,0.9999996070683804
D59_MLP_seed1,59,y,67,419.6898417116521,2,20,0.9867515729823054,True,0.9988173946913269,0.9999977966492339
D59_MLP_seed1,59,y,68,443.8180839926563,2,15,0.9920867438774477,True,0.9984196504751098,0.9999989136873328
D59_MLP_seed1,59,y,69,829.7632409506494,2,6,0.9932830546590895,True,0.99882112146958,0.9999600846101936
D59_MLP_seed1,59,y,70,422.84441380011947,2,19,0.9937642141249995,True,0.9983413520395367,0.9999994792914777
D59_MLP_seed1,59,y,71,411.93153748731123,2,8,0.9917603227807232,True,0.9992294669662437,0.9999999452655592
D59_MLP_seed1,59,y,72,985.0105901545235,2,15,0.9921899691455528,True,0.9984288116442583,0.9999746774851208
D59_MLP_seed1,59,y,73,968.1523778792293,2,15,0.9917587752868675,True,0.9981902991064104,0.9999812682906044
D59_MLP_seed1,59,y,74,152.64799359719004,2,7,0.9621315312351183,True,0.9927786049147359,0.9999705824335434
