run,side,neuron,family,energy,alpha,purity,top,c_std,c_sgn,c_stdp,c_5a,c_5b
S5_MLP_seed1,y,66,A4,267.19361892149766,0.9922266794049944,0.9547008794511282,std',0.005512710338575937,0.03978641021029588,0.9547008794511282,,
S5_MLP_seed1,y,67,S4,798.0694461840296,0.9999517565948748,1.0,std,1.0,,,,
S5_MLP_seed1,y,68,F20,848.1342008761653,0.99999529755455,1.0,5a,,,,1.0,
S5_MLP_seed1,y,69,D10,715.4868056025866,0.9998835520672196,0.9999933172856081,5a,,1.037162062655031e-06,,0.9999933172856081,5.645552329081954e-06
S5_MLP_seed1,y,70,A4,392.9358998749733,0.9987756756858738,0.9776168555504994,std',2.8689493396111032e-05,0.022354454956104552,0.9776168555504994,,
S5_MLP_seed1,y,71,D10,482.4501091903397,0.999929096640934,0.9999964756101579,5a,,5.869097634087506e-07,,0.9999964756101579,2.9374800787119487e-06
S5_MLP_seed1,y,72,S4,1339.2415601790333,0.9999909860123678,1.0000000000000002,std,1.0000000000000002,,,,
S5_MLP_seed1,y,73,D10,1285.0230287142444,0.9989468698785848,0.9996885308482463,sgn,,0.9996885308482463,,0.00012931822025626522,0.00018215093149680385
S5_MLP_seed1,y,74,S4,1244.994670232186,0.9999516847810472,1.0,std,1.0,,,,
S5_MLP_seed1,y,75,D10,828.4118451298276,0.9999313795308886,0.9999964942581926,5a,,5.053910840228878e-07,,0.9999964942581926,3.000350723360826e-06
S5_MLP_seed1,y,76,S4,798.2657827362985,0.9999517377579734,0.9999999999999997,std,0.9999999999999997,,,,
S5_MLP_seed1,y,77,F20,790.2877186277548,0.999999846326559,0.9999999999999999,5a,,,,0.9999999999999999,
S5_MLP_seed1,y,78,A4,509.36107527395694,0.9962595327288036,0.9804821202370506,std',0.0005040125307667979,0.01901386723218277,0.9804821202370506,,
